timestamp,setup_id,ea_version,symbol,timeframe,direction,bid,ask,spread_points,bar_time,breakout_level,lookback_bars,mindset,filter_decision,filter_reason,did_enter
2025.07.09 22:28:09,XAUUSDg_PERIOD_M5_20250709_2225_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3320.24,3320.85,59,2025.07.09 22:25,3320.50,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.10 01:17:47,XAUUSDg_PERIOD_M5_20250710_0115_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3322.31,3322.86,66,2025.07.10 01:15,3322.25,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.10 01:30:52,XAUUSDg_PERIOD_M5_20250710_0130_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3324.40,3324.95,68,2025.07.10 01:30,3324.16,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.10 06:20:03,XAUUSDg_PERIOD_M5_20250710_0620_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3325.93,3326.45,55,2025.07.10 06:20,3326.36,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.10 06:21:08,XAUUSDg_PERIOD_M5_20250710_0620_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3327.50,3328.18,48,2025.07.10 06:20,3326.36,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.10 08:53:47,XAUUSDg_PERIOD_M5_20250710_0850_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3329.30,3329.82,52,2025.07.10 08:50,3329.28,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 12:31:12,XAUUSDg_PERIOD_M5_20250711_1230_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3349.30,3350.05,69,2025.07.11 12:30,3349.96,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 12:35:25,XAUUSDg_PERIOD_M5_20250711_1235_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3352.07,3352.93,84,2025.07.11 12:35,3350.70,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 12:46:48,XAUUSDg_PERIOD_M5_20250711_1245_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3353.80,3354.51,65,2025.07.11 12:45,3354.38,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 12:49:55,XAUUSDg_PERIOD_M5_20250711_1245_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3355.63,3356.25,63,2025.07.11 12:45,3354.38,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 13:07:39,XAUUSDg_PERIOD_M5_20250711_1305_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3357.30,3358.07,68,2025.07.11 13:05,3357.55,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 14:42:55,XAUUSDg_PERIOD_M5_20250711_1440_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3359.57,3360.28,66,2025.07.11 14:40,3358.96,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 14:54:37,XAUUSDg_PERIOD_M5_20250711_1450_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3362.93,3363.65,62,2025.07.11 14:50,3360.39,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 15:13:39,XAUUSDg_PERIOD_M5_20250711_1510_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3364.76,3365.51,78,2025.07.11 15:10,3364.74,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.11 15:20:09,XAUUSDg_PERIOD_M5_20250711_1520_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3368.34,3368.70,33,2025.07.11 15:20,3367.79,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.14 07:04:05,XAUUSDg_PERIOD_M5_20250714_0700_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3369.82,3370.55,75,2025.07.14 07:00,3369.51,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
